Patient Events					
Patient Events	Adverse reaction	data\Views\appt_comp2.png			
Patient Events	Radiology/imaging test	MRI safety violation			
Patient Events	Radiology/imaging test	Not completed			
Patient Events	Radiology/imaging test	Not ordered			
Patient Events	Radiology/imaging test	Ordered, not performed"			
Patient Events	Radiology/imaging test	Unanticipated radiation exposure			
Patient Events	Radiology/imaging test	Wrong patient			
Patient Events	Radiology/imaging test	Wrong procedure			
Patient Events	Radiology/imaging test	Wrong side (L vs R)			
Patient Events	Radiology/imaging test	Wrong site			
Patient Events	Radiology/imaging test	Other (specify)			
Patient Events					
Patient Events	Respiratory care				
Patient Events	Respiratory care	Incomplete/incorrect treatment			
Patient Events	Respiratory care	Incomplete/incorrect treatment	Medication involved		
Patient Events	Respiratory care	Incomplete/incorrect treatment	Medication not involved		
Patient Events	Respiratory care	Missed treatment			
Patient Events	Respiratory care	Missed treatment	Medication involved		
Patient Events	Respiratory care	Missed treatment	Medication not involved		
Patient Events	Respiratory care	Oxygen/medical gas problem			
Patient Events	Respiratory care	Self-/unplanned extubation			
Patient Events	Respiratory care	Ventilator settings			
Patient Events	Respiratory care	Ventilator settings	Alarm not audible		
Patient Events	Respiratory care	Ventilator settings	Alarm not set properly		
Patient Events	Respiratory care	Ventilator settings	Settings wrong/changed without authorization		
Patient Events	Respiratory care	Ventilator settings	Other (specify)		
Patient Events	Respiratory care	Other (specify)			
Patient Events	Skin integrity				
Patient Events	Skin integrity	Abrasion/scratch			
Patient Events	Skin integrity	Blister			
Patient Events	Skin integrity	Bruise/ecchymosis			
Patient Events	Skin integrity	Burn (electrical, chemical, thermal)"			
Patient Events	Skin integrity	Irritation/reddening			
Patient Events	Skin integrity	Laceration			
Patient Events	Skin integrity	Mucosal ulcer			
Patient Events	Skin integrity	Pressure ulcer			
Patient Events	Skin integrity	Rash			
Patient Events	Skin integrity	Skin tear			
Patient Events	Skin integrity	Venous stasis ulcer			
Patient Events					
Patient Events	Supplies				
Patient Events	Supplies	Inadequate supplies			
Patient Events	Supplies	Outdated item(s)			
Patient Events	Supplies	Sterilization problem			
Patient Events	Supplies	Supplies damaged/broken			
Patient Events	Supplies	Supplies ordered, not received"			
Patient Events	Supplies	Supplies ordered; wrong supplies received			
Patient Events	Supplies	Used after product recall			
Patient Events	Supplies	Wrong supplies used			
Patient Events	Supplies	Other (specify)			
Patient Events	Transfusion				
Patient Events	Transfusion	Ordering			
Patient Events	Transfusion	Ordering	Blood product/compatibility testing not requested		
Patient Events	Transfusion	Ordering	Blood requested for wrong patient		
Patient Events	Transfusion	Ordering	Special product need not requested		
Patient Events	Transfusion	Ordering	Wrong component requested		
Patient Events	Transfusion	Ordering	Other (specify)		
Patient Events	Transfusion	Sample collection for compatibility testing			
Patient Events	Transfusion	Sample collection for compatibility testing	Delay in collecting specimen		
Patient Events	Transfusion	Sample collection for compatibility testing	Improperly labeled (wrong nonpatient identifiers)		
Patient Events	Transfusion	Sample collection for compatibility testing	Mislabeled specimen (wrong patient identifiers)		
Patient Events	Transfusion	Sample collection for compatibility testing	Mismatch from historical record		
Patient Events	Transfusion	Sample collection for compatibility testing	Specimen inadequate		
Patient Events	Transfusion	Sample collection for compatibility testing	Specimen label missing, incomplete, or illegible"		
Patient Events	Transfusion	Sample collection for compatibility testing	Wrong blood in tube		
Patient Events	Transfusion	Sample collection for compatibility testing	Other (specify)		
Patient Events	Transfusion				
Patient Events	Transfusion	Blood product dispensing or distribution			
Patient Events	Transfusion	Blood product dispensing or distribution	Delay		
Patient Events	Transfusion	Blood product dispensing or distribution	Mismatched unit		
Patient Events	Transfusion	Blood product dispensing or distribution	Not available		
Patient Events	Transfusion	Blood product dispensing or distribution	Patient/product information on pickup slip does not match order		
Patient Events	Transfusion	Blood product dispensing or distribution	Special product need not issued		
Patient Events	Transfusion	Blood product dispensing or distribution	Wrong component issued		
Patient Events	Transfusion	Blood product dispensing or distribution	Other (specify)		
Patient Events	Transfusion	Blood product administration			
Patient Events	Transfusion	Blood product administration	Blood consent missing/incomplete		
Patient Events	Transfusion	Blood product administration	Blood not administered		
Patient Events	Transfusion	Blood product administration	Blood product administered with incorrect IV fluid		
Patient Events	Transfusion	Blood product administration	Incorrect sequence of administration of products		
Patient Events	Transfusion	Blood product administration	Incorrect use of expired or unacceptably stored products		
Patient Events	Transfusion	Blood product administration	Incorrect volume (i.e., number of units or milliliters)"		
Patient Events	Transfusion	Blood product administration	Units not transfused within time frame per protocol		
Patient Events	Transfusion	Blood product administration	Wrong ABO/Rh type transfused		
Patient Events	Transfusion	Blood product administration	Wrong patient transfused		
Patient Events	Transfusion	Blood product administration	Wrong product transfused (e.g., heterologous vs autologous blood)"		
Patient Events	Transfusion	Blood product administration	Wrong transfusion rate		
Patient Events	Transfusion	Blood product administration	Unknown		
Patient Events	Transfusion	Blood product administration	Other (specify)		
Patient Events	Transfusion	Suspected transfusion reaction			
Patient Events	Transfusion	Blood product wasted			
Patient Events	Transfusion	Blood product wasted	Date on product expired		
Patient Events	Transfusion	Blood product wasted	Not stored according to protocol		
Patient Events	Transfusion	Blood product wasted	Product returned to blood bank after allowed time		
Patient Events	Transfusion	Blood product wasted	Unit returned unusable (e.g., unit spiked)"		
Patient Events	Transfusion	Other (specify)			
